locus_tag	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAUSA300_RS14695	20.544586174593	-0.12066354704854	0.38134085952291	0.726460531355309	0.853952333773622
SAUSA300_RS14690	253.693766370943	-0.150871403359214	0.168052594033405	0.359385471213412	0.573725548655663
SAUSA300_RS14680	243.708503597981	-0.0217302137882275	0.181622593418069	0.901613286650402	0.94690874962942
SAUSA300_RS14675	453.791421274557	0.146442199703614	0.140981420600321	0.290897796889882	0.499056323364495
SAUSA300_RS15675	54.5605383920592	-0.634722857422952	0.26247852697701	0.0114848856768062	0.0374311799686618
srn_5120_Sau5995	117.837561243862	-1.79763306303945	0.290205056992751	1.24585638731836e-10	1.43785849722544e-09
SAUSA300_RS14645	3.83951307081463	0.157857978148982	0.655864160910605	0.735987522073755	0.857579866192583
SAUSA300_RS14630	4.74253282696299	-0.217480900800776	0.651671754471766	0.642454267735846	0.80524038730046
SAUSA300_RS14615	16.3089409347836	-0.305384982852011	0.411437802296247	0.406673674239329	0.626700587006966
SAUSA300_RS14605	8.00180857923587	-4.54315874108049	1.35347839081189	5.63981118000837e-05	0.000310655714997982
SAUSA300_RS14595	520.727246835439	0.209726371623059	0.126586158066507	0.0947087975387019	0.217516975818611
SAUSA300_RS14575	51.3370296257466	1.47814736464521	0.294287091570453	1.48392835574061e-07	1.1635744107072e-06
SAUSA300_RS14540	9.43277163712615	0.772126253940899	0.558455923205357	0.0920203839270475	0.213141914465255
SAUSA300_RS14525	13.0954603364105	0.595818529974917	0.495727722880129	0.15773369338836	0.323599276953108
SAUSA300_RS14515	17.47603455724	0.0376915600043136	0.405661924896314	0.919284769636142	0.956228324561043
SAUSA300_RS14510	10.4854607726775	-0.0302444340410094	0.485314972732998	0.940195568690122	0.965175735898292
SAUSA300_RS14505	4.21631821134666	-0.208057657017973	0.671915295905478	0.655243846190565	0.810835566207787
SAUSA300_RS14500	5.03003168573726	-0.382231584097686	0.64016373239122	0.420250294505822	0.636945585646686
SAUSA300_RS14495	6.47955153790482	-0.176225111275265	0.571079952553391	0.693884719532692	0.834084593044366
SAUSA300_RS14485	8.48500294657658	0.124328659801039	0.533288751630634	0.776399652799781	0.879303939831867
srn_5075	2.90550931687575	0.057161950247201	0.695208520547653	0.902564766646614	0.94690874962942
SAUSA300_RS14465	20.8693766139169	4.39600415074911	0.675322335868546	3.10060387059145e-11	3.8269490365726e-10
SAUSA300_RS14455	52.0723627887926	5.79165662625492	0.623906994022203	1.90333625254512e-20	5.07429444928528e-19
SAUSA300_RS14435	7.6161186845808	0.215786050319875	0.541376187214852	0.625383019130688	0.792343966364485
SAUSA300_RS14430	4.35389380129644	0.34260429851595	0.673988514390994	0.477099366378003	0.677103543579839
SAUSA300_RS14425	9.38782387261253	0.487890223565985	0.527700495005425	0.264313419755491	0.469147521350293
SAUSA300_RS14415	35.3061259566003	-3.02910338341677	0.430108059813433	3.7778451056708e-13	5.6266676266583e-12
SAUSA300_RS14410	3.29153884431359	0.627847724667292	0.808122990165679	0.224658978435821	0.418254774099092
SAUSA300_RS14400	26.8268755382512	-0.0507354411128464	0.334511070580316	0.869597930389816	0.930316244951544
SAUSA300_RS14390	7.80984711755956	-0.251266554157825	0.555674518301131	0.573458525201888	0.753971072254897
SAUSA300_RS14665	18.6188647000513	0.455778216837005	0.414847033825309	0.219692095057808	0.41179930846248
SAUSA300_RS14375	33.2373572339153	-0.534953643403331	0.323129543486893	0.0759477067264535	0.18274060120282
SAUSA300_RS14370	208.479776297736	-0.0127309305028557	0.155317837641389	0.932743680229648	0.963172994399649
SAUSA300_RS14365	204.2090829051	0.268836086446329	0.154420076136418	0.0776852869571697	0.186249078262423
SAUSA300_RS14355	577.470057759691	2.20140818275507	0.129355162487441	1.13568311654562e-65	1.08133256739665e-63
SAUSA300_RS14350	139.531530602712	0.718378399756726	0.17868233412242	4.06318120486262e-05	0.000228051391413973
SAUSA300_RS14335	120.522857883128	-0.278228354032179	0.190470826775548	0.135161592337023	0.288503446893918
SAUSA300_RS14325	69.1879524653276	0.916945960394181	0.24598673336135	0.00010872436128906	0.000576260730013187
SAUSA300_RS14295	38.7044530807544	0.62336373098019	0.33369098953124	0.0447923388231659	0.11977570240979
SAUSA300_RS14290	63.1873793382554	-0.22037473950801	0.298456056845141	0.434384234350776	0.649445454238808
SAUSA300_RS14285	94.0582007357407	-0.428862928073157	0.241061511428949	0.0647724296446356	0.161688480742134
SAUSA300_RS14275	56.9469753853953	-0.826381366027323	0.280254526223736	0.00189922322500489	0.00763699716118103
SAUSA300_RS14265	77.3303740500877	0.193883381162909	0.224970402428507	0.375398742539967	0.592197069592634
SAUSA300_RS14255	3.82003740908868	-0.30444418854864	0.68426021657368	0.523135912161581	0.711305311362607
SAUSA300_RS14245	31.9371371871914	0.115523905489763	0.341556885635312	0.717993422705765	0.84946368734604
SAUSA300_RS14235	122.379237820683	0.0710383347639884	0.181143443029069	0.690236524393116	0.831433550849623
SAUSA300_RS14225	84.4129531888247	0.3469539002146	0.223860973527986	0.110373839548348	0.245009705442044
SAUSA300_RS14205	60.4052050211579	2.30206713964204	0.295818459135241	1.39800623157229e-15	2.70078595171864e-14
SAUSA300_RS14185	2.37583470337609	0.146011543593637	0.745926622513584	0.747936208670084	0.865436997318347
SAUSA300_RS14180	30.2998272761065	0.938804247966115	0.355270192078479	0.00436634417849008	0.0158693120650464
SAUSA300_RS14175	199.672975046873	0.299591338065226	0.219039609613104	0.159737978658331	0.326080743570528
